location_name,mean_drinks_male,mean_drinks _female,mean_drinks_perday,gdp_growth
Romania,6.79,2,8.79,7.941558658
Russia,4.4,1.77,6.17,1.709385694
Rwanda,2.74,2.07,4.81,1.267473099
Samoa,1.33,0.58,1.91,0.619348194
Sao Tome and Principe,2.65,2.13,4.78,1.910770169
Saudi Arabia,0.05,0.08,0.13,-2.713852703
Senegal,0.11,0.17,0.28,4.427818875
Serbia,3.58,2.25,5.83,2.645985862
Seychelles,1.93,0.66,2.59,3.239641159
Sierra Leone,2.65,2.09,4.74,1.972229091
Singapore,0.59,0.52,1.11,4.568750821
Slovakia,4.27,1.5,5.77,2.82050738
Slovenia,3.36,1.47,4.83,4.747106183
Solomon Islands,0.68,0.32,1,2.598431833
Somalia,0.16,0.13,0.29,-0.245105663
South Africa,2.66,2.02,4.68,-0.265300653
Spain,4.84,2.28,7.12,2.732360583
Sri Lanka,1.86,0.4,2.26,2.414098662
Suriname,3.1,1.39,4.49,0.567009682
Sweden,2.3,2.69,4.99,1.195147571
Switzerland,2.35,2.4,4.75,0.641284066
Syria,0.36,0.05,0.41,1.420466896
Tajikistan,0.76,0.46,1.22,4.486458706
Tanzania,2.45,1.72,4.17,3.643721827
Thailand,2.53,0.91,3.44,3.818674251
Timor-Leste,0.16,0.05,0.21,-4.939962804
Togo,1.03,0.83,1.86,1.792430161
Tonga,0.71,0.32,1.03,2.452312649
Trinidad and Tobago,1.66,0.73,2.39,-3.138040823
Tunisia,0.5,0.04,0.54,1.079885029
Turkey,0.61,0.65,1.26,5.794264413
Uganda,2.11,1.81,3.92,-0.670054581
Ukraine,5.99,3.84,9.83,2.810645471
United Arab Emirates,1.37,2.03,3.4,1.011430774
United Kingdom,2.56,2.58,5.14,1.442929368
United States,3.06,1.78,4.84,1.610808083
Uruguay,2.13,2.05,4.18,1.257929132
Uzbekistan,2.28,1.39,3.67,2.652484732
Vanuatu,0.43,0.15,0.58,3.644485109
Vietnam,5.09,0.8,5.89,5.85454603
"Virgin Islands, U.S.",2.95,1.61,4.56,-0.517853882
Yemen,0.07,0.06,0.13,-7.345180429
Zambia,1.87,0.63,2.5,0.494085598
Zimbabwe,2.15,0.43,2.58,3.192452571
